[2021-09-13 13:08:23,750][INFO] train iteration 242
[2021-09-13 13:08:24,112][INFO] train iteration 243
[2021-09-13 13:08:24,476][INFO] train iteration 244
[2021-09-13 13:08:24,836][INFO] train iteration 245
[2021-09-13 13:08:25,197][INFO] train iteration 246
[2021-09-13 13:08:25,558][INFO] train iteration 247
[2021-09-13 13:08:25,921][INFO] train iteration 248
[2021-09-13 13:08:26,283][INFO] train iteration 249
[2021-09-13 13:08:26,644][INFO] train iteration 250
[2021-09-13 13:08:27,006][INFO] train iteration 251
[2021-09-13 13:08:27,368][INFO] train iteration 252
[2021-09-13 13:08:27,730][INFO] train iteration 253
[2021-09-13 13:08:28,092][INFO] train iteration 254
[2021-09-13 13:08:28,454][INFO] train iteration 255
[2021-09-13 13:08:28,815][INFO] train iteration 256
[2021-09-13 13:08:29,177][INFO] train iteration 257
[2021-09-13 13:08:29,539][INFO] train iteration 258
[2021-09-13 13:08:29,900][INFO] train iteration 259
[2021-09-13 13:08:30,260][INFO] train iteration 260
[2021-09-13 13:08:30,621][INFO] train iteration 261
[2021-09-13 13:08:30,981][INFO] train iteration 262
[2021-09-13 13:08:31,342][INFO] train iteration 263
[2021-09-13 13:08:31,702][INFO] train iteration 264
[2021-09-13 13:08:32,063][INFO] train iteration 265
[2021-09-13 13:08:32,427][INFO] train iteration 266
[2021-09-13 13:08:32,788][INFO] train iteration 267
[2021-09-13 13:08:33,150][INFO] train iteration 268
[2021-09-13 13:08:33,511][INFO] train iteration 269
[2021-09-13 13:08:33,875][INFO] train iteration 270
[2021-09-13 13:08:34,237][INFO] train iteration 271
[2021-09-13 13:08:34,598][INFO] train iteration 272
[2021-09-13 13:08:34,960][INFO] train iteration 273
[2021-09-13 13:08:35,323][INFO] train iteration 274
[2021-09-13 13:08:35,685][INFO] train iteration 275
[2021-09-13 13:08:36,045][INFO] train iteration 276
[2021-09-13 13:08:36,406][INFO] train iteration 277
[2021-09-13 13:08:36,767][INFO] train iteration 278
[2021-09-13 13:08:37,128][INFO] train iteration 279
[2021-09-13 13:08:37,490][INFO] train iteration 280
[2021-09-13 13:08:37,851][INFO] train iteration 281
[2021-09-13 13:08:38,213][INFO] train iteration 282
[2021-09-13 13:08:38,573][INFO] train iteration 283
[2021-09-13 13:08:38,934][INFO] train iteration 284
[2021-09-13 13:08:39,295][INFO] train iteration 285
[2021-09-13 13:08:39,659][INFO] train iteration 286
[2021-09-13 13:08:40,020][INFO] train iteration 287
[2021-09-13 13:08:40,383][INFO] train iteration 288
[2021-09-13 13:08:40,746][INFO] train iteration 289
[2021-09-13 13:08:41,113][INFO] train iteration 290
[2021-09-13 13:08:41,474][INFO] train iteration 291
[2021-09-13 13:08:41,836][INFO] train iteration 292
[2021-09-13 13:08:42,197][INFO] train iteration 293
[2021-09-13 13:08:42,558][INFO] train iteration 294
[2021-09-13 13:08:42,920][INFO] train iteration 295
[2021-09-13 13:08:43,282][INFO] train iteration 296
[2021-09-13 13:08:43,643][INFO] train iteration 297
[2021-09-13 13:08:44,004][INFO] train iteration 298
[2021-09-13 13:08:44,365][INFO] train iteration 299
[2021-09-13 13:08:44,730][INFO] train iteration 300
[2021-09-13 13:08:45,303][INFO] train iteration 301
[2021-09-13 13:08:45,663][INFO] train iteration 302
[2021-09-13 13:08:46,024][INFO] train iteration 303
[2021-09-13 13:08:46,384][INFO] train iteration 304
[2021-09-13 13:08:46,743][INFO] train iteration 305
[2021-09-13 13:08:47,102][INFO] train iteration 306
[2021-09-13 13:08:47,462][INFO] train iteration 307
[2021-09-13 13:08:47,824][INFO] train iteration 308
[2021-09-13 13:08:48,185][INFO] train iteration 309
[2021-09-13 13:08:48,548][INFO] train iteration 310
[2021-09-13 13:08:48,910][INFO] train iteration 311
[2021-09-13 13:08:49,272][INFO] train iteration 312
[2021-09-13 13:08:49,633][INFO] train iteration 313
[2021-09-13 13:08:49,994][INFO] train iteration 314
[2021-09-13 13:08:50,354][INFO] train iteration 315
[2021-09-13 13:08:50,715][INFO] train iteration 316
[2021-09-13 13:08:51,075][INFO] train iteration 317
[2021-09-13 13:08:51,437][INFO] train iteration 318
[2021-09-13 13:08:51,798][INFO] train iteration 319
[2021-09-13 13:08:52,160][INFO] train iteration 320
[2021-09-13 13:08:52,521][INFO] train iteration 321
[2021-09-13 13:08:52,882][INFO] train iteration 322
[2021-09-13 13:08:53,243][INFO] train iteration 323
[2021-09-13 13:08:53,603][INFO] train iteration 324
[2021-09-13 13:08:53,965][INFO] train iteration 325
[2021-09-13 13:08:54,326][INFO] train iteration 326
[2021-09-13 13:08:54,689][INFO] train iteration 327
[2021-09-13 13:08:55,051][INFO] train iteration 328
[2021-09-13 13:08:55,413][INFO] train iteration 329
[2021-09-13 13:08:55,774][INFO] train iteration 330
[2021-09-13 13:08:56,135][INFO] train iteration 331
[2021-09-13 13:08:56,494][INFO] train iteration 332
[2021-09-13 13:08:56,856][INFO] train iteration 333
[2021-09-13 13:08:57,217][INFO] train iteration 334
[2021-09-13 13:08:57,580][INFO] train iteration 335
[2021-09-13 13:08:57,942][INFO] train iteration 336
[2021-09-13 13:08:58,304][INFO] train iteration 337
[2021-09-13 13:08:58,666][INFO] train iteration 338
[2021-09-13 13:08:59,032][INFO] train iteration 339
[2021-09-13 13:08:59,392][INFO] train iteration 340
[2021-09-13 13:08:59,754][INFO] train iteration 341
